City_ID,City,Country,Max Temp,Lat,Lng,Hotel Name
6,Cockburn Town,TC,81.68,21.4612,-71.1419,Osprey Beach Hotel
10,Casian,PH,84.45,11.035,119.7136,Osprey Beach Hotel
19,Kapaa,US,84.18,22.0752,-159.319,Osprey Beach Hotel
26,The Valley,AI,82.09,18.217,-63.0578,Osprey Beach Hotel
29,Butaritari,KI,82.56,3.0707,172.7902,Osprey Beach Hotel
31,Edgewater,US,82.09,28.9889,-80.9023,Osprey Beach Hotel
34,Nhulunbuy,AU,84.81,-12.2333,136.7667,Osprey Beach Hotel
61,North Myrtle Beach,US,81.1,33.816,-78.68,Osprey Beach Hotel
63,Hilo,US,84.27,19.7297,-155.09,Osprey Beach Hotel
64,Samarai,PG,79.86,-10.6167,150.6667,Osprey Beach Hotel
69,Tucurui,BR,78.87,-3.7661,-49.6725,Osprey Beach Hotel
74,Hailar,CN,80.08,49.2,119.7,Osprey Beach Hotel
76,Mahishadal,IN,81.21,22.1833,87.9833,Osprey Beach Hotel
78,Hithadhoo,MV,81.9,-0.6,73.0833,Osprey Beach Hotel
83,Islampur,IN,79.77,26.2667,88.2,Osprey Beach Hotel
87,Brigantine,US,81.19,39.4101,-74.3646,Osprey Beach Hotel
88,Ponta Do Sol,PT,82.13,32.6667,-17.1,Osprey Beach Hotel
96,Praia,CV,79.11,14.9215,-23.5087,Osprey Beach Hotel
100,Vung Tau,VN,84.16,10.346,107.0843,Osprey Beach Hotel
107,Kamaishi,JP,80.06,39.2667,141.8833,Osprey Beach Hotel
108,Bocas Del Toro,PA,79.65,9.3333,-82.25,Osprey Beach Hotel
109,Kijang,KR,83.93,35.2442,129.2139,Osprey Beach Hotel
118,Kavieng,PG,84.47,-2.5744,150.7967,Osprey Beach Hotel
122,Sumenep,ID,80.96,-7.0167,113.8667,Osprey Beach Hotel
135,Malaiba,PH,84.49,10.3333,123.3167,Osprey Beach Hotel
136,Umm Lajj,SA,81.72,25.0213,37.2685,Osprey Beach Hotel
141,Georgetown,MY,84.88,5.4112,100.3354,Osprey Beach Hotel
144,Hamilton,US,80.4,39.1834,-84.5333,Osprey Beach Hotel
148,Cayenne,GF,83.08,4.9333,-52.3333,Osprey Beach Hotel
166,Bambanglipuro,ID,79.52,-7.95,110.2833,Osprey Beach Hotel
172,Mecca,SA,84.33,21.4267,39.8261,Osprey Beach Hotel
194,Mount Isa,AU,83.97,-20.7333,139.5,Osprey Beach Hotel
198,Elizabeth City,US,82.42,36.2946,-76.2511,Osprey Beach Hotel
203,Dillon,US,78.15,34.4166,-79.3712,Osprey Beach Hotel
206,Luwuk,ID,84.72,-0.9516,122.7875,Osprey Beach Hotel
212,Itarema,BR,79.41,-2.9248,-39.9167,Osprey Beach Hotel
215,Cabo San Lucas,MX,84.61,22.8909,-109.9124,Osprey Beach Hotel
